Batch,Photoperiod,Time,Genotype,Starch,Maltose,Sucrose,Fructose,Glucose,Fumarate,Malate
1,LD,0.666666667,wt,51.40909249,0.036976639,1.254913033,0.652140488,1.033525318,1.994570541,1.466523763
1,LD,0.666666667,wt,47.34634482,0.061728303,1.483169176,0.457475081,0.687726479,2.144438682,2.465333138
1,LD,0.666666667,wt,41.51057772,0.040957151,1.018235862,0.223403936,0.274799084,1.399905797,1.581848736
1,LD,0.833333333,wt,34.55516213,0.730921683,1.597785657,0.431567808,0.791195845,2.049625442,1.614047203
1,LD,0.833333333,wt,33.52777431,0.367074516,1.42093732,0.711534184,0.868485562,2.040813567,2.015447087
1,LD,0.833333333,wt,27.73604532,0.721877827,1.536418517,0.397492845,0.719369608,1.870183642,1.584609003
1,LD,0.833333333,wt,30.81856289,0.70176509,1.594625993,0.576308351,0.838132829,2.264709588,2.370722599
1,LD,0.833333333,wt,26.60748494,0.517461678,1.287291982,0.184171148,0.462989161,1.662769635,1.855012698
1,LD,0.958333333,wt,13.27852123,0.819149348,1.777531555,0.546016224,1.08236788,0.022775281,0.633484446
1,LD,0.958333333,wt,17.7963306,0.462195396,1.392066475,1.031730167,1.196519902,1.884347175,1.236665157
1,LD,0.958333333,wt,13.98423285,0.514072156,1.538675774,2.249104597,0.817747999,1.774300813,0.897934373
1,LD,0.958333333,wt,15.75901032,0.409228076,1.259941134,0.224059192,0.50089724,1.063534157,0.365965264
1,LD,0.958333333,wt,15.93382804,0.411189965,1.305786499,0.317492553,0.591700536,1.292767869,0.700346265
1,LD,1,wt,11.74539249,0.317412886,1.289650399,0.667252561,0.791918999,1.887476392,1.435733788
1,LD,1,wt,9.657871054,0.368569444,1.343311035,0.48032904,0.71567899,1.998528312,1.678469085
1,LD,1,wt,9.940264944,0.615144837,1.603188737,1.08305519,1.236502108,2.060856608,2.283430696
1,LD,1,wt,12.55423826,0.245560364,1.370543325,0.421786874,0.823922002,1.970682935,1.657199622
1,LD,1,wt,6.866221588,0.162846839,1.263976452,0.521249084,0.902650656,1.564759867,1.518596526
1,LD,0,gwd,36.43557004,0.011184336,0.272583848,0.125402708,0.251539723,0.747552202,0.164715605
1,LD,0,gwd,38.95034155,0.077631999,0.819201157,0.145561462,0.345985182,1.306927043,0.587019456
1,LD,0,gwd,0.998483484,0.029275342,0.40701821,0.250560468,0.431103113,1.194058323,0.561213752
1,LD,0,gwd,22.82632333,0.019580585,0.278877259,0.195062019,0.313055563,1.114903418,0.493646756
1,LD,0,gwd,39.30732423,0.044981339,0.612216547,0.132107355,0.476321615,1.629980875,0.460691798
1,LD,0.041666667,gwd,39.32337901,0.096977104,1.605223869,0.611064374,0.54770108,1.946455124,1.012562959
1,LD,0.041666667,gwd,5.458615564,0.020057103,1.362208568,0.226679168,0.388021416,1.887131022,1.37359131
1,LD,0.041666667,gwd,51.90874844,0.027910784,1.44941555,0.310909286,0.351075228,2.055654238,1.175750606
1,LD,0.041666667,gwd,52.40300156,0.056089869,1.42724929,0.666504924,0.574751641,2.050490744,1.051559999
1,LD,0.041666667,gwd,14.2943344,0.032488874,1.504763729,0.509828406,0.569392625,1.84699512,1.320266585
1,LD,0.083333333,gwd,32.4954606,0.027831681,1.246914389,1.554318773,0.991269114,1.81899078,0.821339319
1,LD,0.083333333,gwd,49.04904647,0.03139104,1.305994532,0.915761688,0.755108393,1.925173816,1.11424169
1,LD,0.083333333,gwd,20.03750735,0.033477309,1.330995774,1.555860123,1.177406121,2.050645712,1.278600457
1,LD,0.083333333,gwd,58.90257192,0.020541519,1.118038137,1.464748411,1.109684171,2.052030089,1.122795083
1,LD,0.166666667,gwd,23.33414251,0.056185274,1.125285237,0.606614004,0.613763195,1.894802154,1.28791194
1,LD,0.166666667,gwd,61.12215217,0.017546359,1.140301651,2.042037888,1.520924583,2.01523094,0.919001888
1,LD,0.166666667,gwd,41.55200402,0.04480673,1.640873412,2.091882183,1.739125903,2.163825657,1.075825873
1,LD,0.166666667,gwd,39.63137648,0.085618314,1.476960696,1.246777417,1.292908028,1.820116875,0.822082512
1,LD,0.166666667,gwd,45.29542781,0.058815307,1.475755473,1.702403786,1.4680822,2.284645369,1.380453483
1,LD,0.333333333,gwd,39.47702514,0.012124898,0.85889192,0.242607613,0.517997422,1.905389941,1.561127136
1,LD,0.333333333,gwd,53.15276267,0.01134079,0.793133221,0.344797843,0.656230797,2.115566566,1.709373406
1,LD,0.333333333,gwd,36.12821066,0.018938174,0.723677124,0.325971703,0.486965025,1.524830167,1.257109882
1,LD,0.333333333,gwd,30.81330799,0.044673264,1.043714008,0.213750591,0.405258105,1.933230387,1.532812364
1,LD,0.333333333,gwd,39.91718584,0.025392232,0.90476839,0.224738024,0.535347203,1.958817354,1.774208742
1,LD,0.5,gwd,63.52339975,0.01433963,0.85698846,0.235421537,0.438901292,1.854761557,1.050853629
1,LD,0.5,gwd,62.74044992,0.016835774,1.114868618,0.376447788,0.750671556,2.198459871,1.431859063
1,LD,0.5,gwd,45.934872,0.045417741,1.221325067,0.328943219,0.458737359,2.32477173,1.962955118
1,LD,0.5,gwd,36.0467842,0.067509153,1.395518478,0.337024136,0.544803655,2.272280719,2.077523764
1,LD,0.5,gwd,47.87382015,0.027290666,1.031189249,0.136305233,0.292675902,1.823810558,1.25185586
1,LD,0.625,gwd,55.59034079,0.014874545,0.759489047,0.115072699,0.216298663,1.366510867,0.99989032
1,LD,0.625,gwd,35.84606276,0.052261193,1.085603723,0.233655668,0.379757949,2.028065001,1.569794065
1,LD,0.625,gwd,53.5612524,0.023108346,1.127884314,0.196983911,0.306029959,2.164614423,2.070682907
1,LD,0.625,gwd,63.129759,0.01170451,0.660410468,0.119988649,0.251791597,1.726499178,1.155145492
1,LD,0.625,gwd,50.34075592,0.11375217,1.503083309,0.716261717,0.84422866,2.43238607,1.671428259
1,LD,0.666666667,gwd,55.84220796,0.018878354,1.061981016,0.179759697,0.362163355,1.593919534,1.180996086
1,LD,0.666666667,gwd,48.90409967,0.071176378,1.447612473,0.581379528,0.686002312,2.221736817,1.407333315
1,LD,0.666666667,gwd,34.00969746,0.203794616,1.5149009,0.687283012,0.806555505,2.148235828,1.582104645
1,LD,0.666666667,gwd,50.72078503,0.034412617,1.166338237,0.189782619,0.285060874,2.186842557,1.91591783
1,LD,0.666666667,gwd,58.72318605,0.057843329,1.272832223,0.295285605,0.712675897,1.898143562,1.036216406
1,LD,0.833333333,gwd,43.23009609,0.1635637,1.110887331,0.251882788,0.418288215,1.80654956,0.684735068
1,LD,0.833333333,gwd,55.47209063,0.154504781,0.953594484,0.406100671,0.527809048,2.235371701,0.921600746
1,LD,0.833333333,gwd,30.57397112,0.360782813,1.249721353,0.323720467,0.711984289,1.995839159,1.141512365
1,LD,0.833333333,gwd,49.78010651,0.047944689,0.713587156,0.102387389,0.281718733,1.539115923,0.716193359
1,LD,0.833333333,gwd,53.02717245,0.0589098,0.675719739,0.205768392,0.335920772,1.8786756,1.168942081
1,LD,0.958333333,gwd,18.24264532,0.04694515,0.681459491,0.217060909,0.397431506,1.382119623,0.706179021
1,LD,0.958333333,gwd,10.3270789,0.047087665,0.776962409,0.108910246,0.335919029,1.654369179,0.570794837
1,LD,0.958333333,gwd,3.076174224,0.0831058,0.789770233,0.402486222,0.615924163,1.959195896,0.925421344
1,LD,0.958333333,gwd,52.53881853,0.033262927,0.523565245,0.150108858,0.344799444,1.670278321,0.869250991
1,LD,0.958333333,gwd,5.996200234,0.021549186,0.56088622,0.120748406,0.286364403,0.98722161,0.393697513
1,LD,1,gwd,56.41762981,0.011161802,0.284848171,0.149007086,0.368419716,2.196513488,1.048195718
1,LD,1,gwd,36.09128929,0.03194947,0.606190354,0.190634965,0.406575404,1.724094707,0.641623156
1,LD,1,gwd,34.23431845,0.031550561,0.628867365,0.264753664,0.479905776,1.512240661,0.815523164
1,LD,1,gwd,48.2684779,0.028774087,0.529470953,0.177634153,0.404816454,1.878695081,0.590979728
1,LD,1,gwd,13.31495682,0.040952654,0.625873656,0.200802466,0.466604047,1.628348897,0.728373858
1,LD,0,pwd,28.77299881,0.044989255,0.817335986,0.200760825,0.337393116,1.672249369,0.994423627
1,LD,0,pwd,39.66251376,0.06396402,0.767126771,0.24466651,0.249652393,0.999078,0.454699012
1,LD,0,pwd,34.30512011,0.053137315,0.792317464,0.179403657,0.364394617,1.578104765,0.663641958
1,LD,0,pwd,47.83898837,0.064464005,0.877983089,0.195874374,0.388700901,1.423939193,0.860134718
1,LD,0,pwd,42.51332085,0.075443669,0.931411908,0.317507321,0.399825914,1.505350278,0.752058343
1,LD,0.041666667,pwd,41.03182308,0.06248227,1.456094818,1.090236691,0.890346156,1.341242712,0.688065568
